isoform	gene	length
PB.10128.4	novelGene_101407	1653
PB.10128.16	novelGene_101419	375
PB.10129.18	novelGene_101433	459
PB.10129.17	novelGene_101434	387
PB.10129.16	novelGene_101435	387
PB.10129.15	novelGene_101438	387
PB.10129.14	novelGene_101439	387
PB.10129.11	novelGene_101441	1356
PB.10129.12	novelGene_101444	1011
PB.10129.2	novelGene_101445	387
PB.10129.4	novelGene_101446	993
PB.10129.10	novelGene_101447	1395
PB.10129.9	novelGene_101448	1296
PB.10129.24	novelGene_101451	387
PB.10129.25	novelGene_101453	1158
PB.10129.28	novelGene_101457	867
PB.10129.30	novelGene_101458	630
PB.10129.35	novelGene_101463	867
PB.10129.37	novelGene_101465	465
PB.10133.1	novelGene_101480	1038
PB.10133.7	novelGene_101487	543
PB.10137.4	novelGene_101504	1071
PB.10137.3	novelGene_101505	1074
PB.10137.7	novelGene_101508	2424
PB.10150.9	novelGene_101572	2262
PB.10150.11	novelGene_101573	2262
PB.10150.16	novelGene_101576	1929
PB.10150.8	novelGene_101579	2262
PB.10150.14	novelGene_101581	2295
PB.10154.16	novelGene_101643	1098
PB.10154.38	novelGene_101653	909
PB.10162.1	novelGene_101691	336
PB.10162.5	novelGene_101695	336
PB.10162.41	novelGene_101731	336
PB.10162.42	novelGene_101732	336
PB.10162.46	novelGene_101736	336
PB.10162.47	novelGene_101737	336
PB.10162.48	novelGene_101738	336
PB.10170.4	novelGene_101775	987
PB.10170.1	novelGene_101776	987
PB.10170.6	novelGene_101778	903
PB.10171.21	novelGene_101801	915
PB.10172.4	novelGene_101820	906
PB.10172.6	novelGene_101821	747
PB.10172.16	novelGene_101825	741
PB.10172.11	novelGene_101826	708
PB.10172.14	novelGene_101827	906
PB.10172.15	novelGene_101828	846
PB.10172.17	novelGene_101832	708
PB.10188.25	novelGene_101891	831
PB.10188.27	novelGene_101895	831
PB.10188.29	novelGene_101897	588
PB.10191.1	novelGene_101917	1776
PB.10191.2	novelGene_101918	1776
PB.10191.13	novelGene_101929	768
PB.10191.14	novelGene_101930	573
PB.10209.4	novelGene_102003	1674
PB.10209.11	novelGene_102010	534
PB.10209.13	novelGene_102012	609
PB.10209.15	novelGene_102014	315
PB.10210.9	novelGene_102035	321
PB.10210.14	novelGene_102048	321
PB.10210.42	novelGene_102068	321
PB.10218.12	novelGene_102100	375
PB.10218.11	novelGene_102101	729
PB.10218.10	novelGene_102102	783
PB.10218.8	novelGene_102103	1041
PB.10218.6	novelGene_102105	1227
PB.10218.18	novelGene_102109	537
PB.10218.17	novelGene_102110	1227
PB.10218.15	novelGene_102111	1755
PB.10218.16	novelGene_102112	1227
PB.10218.14	novelGene_102113	1755
PB.10218.22	novelGene_102114	1041
PB.10225.5	novelGene_102149	531
PB.10225.6	novelGene_102150	531
PB.10225.12	novelGene_102156	408
PB.10224.12	novelGene_102185	405
PB.10224.22	novelGene_102191	330
PB.10224.21	novelGene_102192	474
PB.10227.2	novelGene_102204	609
PB.10227.4	novelGene_102206	609
PB.10241.5	novelGene_102268	402
PB.10241.4	novelGene_102269	582
PB.10241.3	novelGene_102270	1005
PB.10241.1	novelGene_102272	1413
PB.10241.6	novelGene_102273	1083
PB.10251.1	novelGene_102296	564
PB.10251.2	novelGene_102297	681
PB.10251.4	novelGene_102298	681
PB.10251.3	novelGene_102299	564
PB.10250.2	novelGene_102330	2097
PB.10250.15	novelGene_102339	2097
PB.10250.17	novelGene_102344	2097
PB.10263.2	novelGene_102421	1902
PB.10265.6	novelGene_102429	1458
PB.10265.8	novelGene_102430	1635
PB.10265.12	novelGene_102434	1539
PB.10281.1	novelGene_102461	1728
PB.10281.2	novelGene_102462	1620
PB.10281.4	novelGene_102464	1728
PB.10281.3	novelGene_102465	1725
PB.10281.32	novelGene_102469	393
PB.10281.31	novelGene_102470	489
PB.10281.30	novelGene_102471	489
PB.10281.29	novelGene_102472	882
PB.10281.19	novelGene_102474	924
PB.10281.28	novelGene_102477	1041
PB.10281.26	novelGene_102480	1287
PB.10281.23	novelGene_102483	1551
PB.10281.15	novelGene_102485	1551
PB.10281.14	novelGene_102486	924
PB.10281.8	novelGene_102489	924
PB.10281.21	novelGene_102490	1725
PB.10281.13	novelGene_102491	924
PB.10281.9	novelGene_102492	924
PB.10291.2	novelGene_102541	489
PB.10291.3	novelGene_102542	621
PB.10291.4	novelGene_102543	489
PB.10291.5	novelGene_102545	621
PB.10291.8	novelGene_102547	489
PB.10291.9	novelGene_102548	621
PB.10291.10	novelGene_102549	489
PB.10291.11	novelGene_102550	474
PB.10286.11	novelGene_102573	327
PB.10286.9	novelGene_102574	1269
PB.10286.14	novelGene_102577	984
PB.10286.13	novelGene_102578	1503
PB.10289.22	novelGene_102624	618
PB.10289.23	novelGene_102625	534
PB.10289.21	novelGene_102630	714
PB.10289.17	novelGene_102632	405
PB.10289.33	novelGene_102633	570
PB.10289.49	novelGene_102649	468
PB.10289.54	novelGene_102654	372
PB.10289.51	novelGene_102655	309
PB.10289.50	novelGene_102656	405
PB.10292.9	novelGene_102670	330
PB.10292.10	novelGene_102674	330
PB.10292.14	novelGene_102675	330
PB.10292.21	novelGene_102682	321
PB.10292.20	novelGene_102684	330
PB.10292.27	novelGene_102688	330
PB.10293.2	novelGene_102705	945
PB.10293.25	novelGene_102722	327
PB.10293.26	novelGene_102723	363
PB.10293.24	novelGene_102724	423
PB.10293.23	novelGene_102725	552
PB.10293.22	novelGene_102726	516
PB.10293.21	novelGene_102727	639
PB.10293.20	novelGene_102728	603
PB.10293.19	novelGene_102729	786
PB.10293.18	novelGene_102730	945
PB.10293.15	novelGene_102731	981
PB.10293.17	novelGene_102732	945
PB.10293.38	novelGene_102741	822
PB.10293.42	novelGene_102743	603
PB.10293.48	novelGene_102748	327
PB.10293.47	novelGene_102749	786
PB.10301.5	novelGene_102811	1506
PB.10301.7	novelGene_102813	792
PB.10301.9	novelGene_102815	525
PB.10303.3	novelGene_102828	984
PB.10303.7	novelGene_102832	795
PB.10303.8	novelGene_102833	795
PB.10303.9	novelGene_102834	684
PB.10329.8	novelGene_102933	399
PB.10329.7	novelGene_102934	408
PB.10329.21	novelGene_102942	990
PB.10329.19	novelGene_102943	1392
PB.10329.17	novelGene_102944	783
PB.10329.20	novelGene_102945	1212
PB.10329.25	novelGene_102946	717
PB.10329.29	novelGene_102952	621
PB.10329.33	novelGene_102956	549
PB.10331.5	novelGene_102969	498
PB.10340.1	novelGene_102997	612
PB.10340.3	novelGene_102999	801
PB.10340.4	novelGene_103000	816
PB.10340.8	novelGene_103002	801
PB.10340.7	novelGene_103003	816
PB.10340.10	novelGene_103005	801
PB.10340.18	novelGene_103007	816
PB.10340.13	novelGene_103009	729
PB.10340.12	novelGene_103013	801
PB.10340.19	novelGene_103014	729
PB.10340.23	novelGene_103015	801
PB.10340.22	novelGene_103016	801
PB.10340.20	novelGene_103018	816
PB.10340.5	novelGene_103019	801
PB.10340.25	novelGene_103021	801
PB.10340.26	novelGene_103022	801
PB.10340.27	novelGene_103023	612
PB.10340.28	novelGene_103024	732
PB.10340.29	novelGene_103025	732
PB.10340.30	novelGene_103026	732
PB.10340.32	novelGene_103028	633
PB.10340.42	novelGene_103038	612
PB.10340.43	novelGene_103039	648
PB.10340.45	novelGene_103041	633
PB.10340.46	novelGene_103042	648
PB.10340.47	novelGene_103043	633
PB.10351.3	novelGene_103092	2778
PB.10351.5	novelGene_103095	2817
PB.10351.9	novelGene_103097	2817
PB.10351.22	novelGene_103115	1890
PB.10351.24	novelGene_103118	1731
PB.10351.32	novelGene_103129	1419
PB.10351.34	novelGene_103132	1152
PB.10351.41	novelGene_103157	975
PB.10351.110	novelGene_103280	975
PB.10351.111	novelGene_103282	705
PB.10351.113	novelGene_103285	678
PB.10351.114	novelGene_103289	507
PB.10351.115	novelGene_103290	315
PB.10351.116	novelGene_103291	315
PB.10350.34	novelGene_103340	360
PB.10350.33	novelGene_103341	471
PB.10350.32	novelGene_103342	750
PB.10350.41	novelGene_103351	1656
PB.10350.42	novelGene_103352	1005
PB.10350.40	novelGene_103353	1656
PB.10350.39	novelGene_103354	1584
PB.10350.48	novelGene_103359	1584
PB.10350.52	novelGene_103360	1005
PB.10350.56	novelGene_103363	471
PB.10358.1	novelGene_103410	750
PB.10358.2	novelGene_103411	750
PB.10358.3	novelGene_103412	750
PB.10358.4	novelGene_103413	750
PB.10358.7	novelGene_103416	750
PB.10358.8	novelGene_103418	750
PB.10358.11	novelGene_103429	750
PB.10358.23	novelGene_103432	750
PB.10358.22	novelGene_103433	750
PB.10358.25	novelGene_103434	318
PB.10358.38	novelGene_103449	306
PB.10358.41	novelGene_103450	306
PB.10358.40	novelGene_103451	831
PB.10358.39	novelGene_103452	1002
PB.10358.43	novelGene_103454	669
PB.10358.45	novelGene_103455	306
PB.10358.44	novelGene_103456	1002
PB.10358.48	novelGene_103461	957
PB.10366.11	novelGene_103496	843
PB.10367.4	novelGene_103506	498
PB.10368.3	novelGene_103516	705
PB.10370.9	novelGene_103527	1323
PB.10370.19	novelGene_103537	696
PB.10370.22	novelGene_103541	1323
PB.10394.2	novelGene_103603	1626
PB.10394.3	novelGene_103604	1497
PB.10394.5	novelGene_103606	1626
PB.10401.17	novelGene_103634	531
PB.10401.16	novelGene_103635	1056
PB.10401.40	novelGene_103654	369
PB.10401.38	novelGene_103655	369
PB.10401.37	novelGene_103656	531
PB.10401.35	novelGene_103657	771
PB.10401.32	novelGene_103659	1101
PB.10401.31	novelGene_103660	1182
PB.10401.29	novelGene_103662	1938
PB.10417.3	novelGene_103733	1899
PB.10415.55	novelGene_103794	879
PB.10415.56	novelGene_103795	756
PB.10415.57	novelGene_103796	576
PB.10415.58	novelGene_103797	420
PB.10415.59	novelGene_103798	576
PB.10415.60	novelGene_103799	576
PB.10415.61	novelGene_103800	420
PB.10415.62	novelGene_103801	420
PB.10415.63	novelGene_103802	420
PB.10415.64	novelGene_103803	420
PB.10415.66	novelGene_103805	420
PB.10415.68	novelGene_103807	420
PB.10415.70	novelGene_103809	420
PB.10418.1	novelGene_103823	1311
PB.10430.6	novelGene_103831	744
PB.10430.10	novelGene_103838	582
PB.10430.11	novelGene_103841	744
PB.10430.25	novelGene_103846	744
PB.10430.22	novelGene_103847	744
PB.10430.24	novelGene_103849	744
PB.10430.23	novelGene_103850	720
PB.10430.26	novelGene_103851	744
PB.10430.40	novelGene_103865	396
PB.10430.38	novelGene_103866	744
PB.10430.37	novelGene_103867	900
PB.10430.35	novelGene_103868	744
PB.10430.32	novelGene_103869	720
PB.10430.29	novelGene_103870	621
PB.10430.31	novelGene_103873	930
PB.10430.30	novelGene_103874	777
PB.10430.34	novelGene_103875	900
PB.10430.61	novelGene_103880	333
PB.10430.59	novelGene_103881	528
PB.10430.39	novelGene_103882	582
PB.10430.53	novelGene_103884	621
PB.10430.54	novelGene_103886	591
PB.10430.56	novelGene_103887	744
PB.10430.67	novelGene_103892	744
PB.10430.68	novelGene_103893	900
PB.10430.111	novelGene_103937	456
PB.10430.112	novelGene_103939	318
PB.10430.114	novelGene_103940	456
PB.10436.1	novelGene_104007	1965
PB.10435.17	novelGene_104018	330
PB.10435.13	novelGene_104019	330
PB.10435.26	novelGene_104028	1071
PB.10435.25	novelGene_104031	1167
PB.10435.6	novelGene_104032	1071
PB.10435.14	novelGene_104035	1374
PB.10435.23	novelGene_104036	1167
PB.10435.8	novelGene_104040	864
PB.10435.7	novelGene_104044	1071
PB.10435.43	novelGene_104054	819
PB.10435.46	novelGene_104057	516
PB.10437.2	novelGene_104080	726
PB.10437.6	novelGene_104082	945
PB.10437.9	novelGene_104084	999
PB.10437.3	novelGene_104088	1062
PB.10437.5	novelGene_104094	960
PB.10437.17	novelGene_104097	1062
PB.10437.20	novelGene_104098	831
PB.10437.22	novelGene_104100	831
PB.10437.24	novelGene_104102	738
PB.10437.27	novelGene_104105	603
PB.10438.1	novelGene_104112	1599
PB.10438.3	novelGene_104114	615
PB.10440.10	novelGene_104128	1269
PB.10440.9	novelGene_104129	1329
PB.10440.7	novelGene_104131	1455
PB.10440.8	novelGene_104133	1353
PB.10440.12	novelGene_104134	306
PB.10440.11	novelGene_104135	1548
PB.10440.16	novelGene_104139	1548
PB.10448.3	novelGene_104157	1887
PB.10449.5	novelGene_104167	1206
PB.10449.11	novelGene_104168	1206
PB.10449.14	novelGene_104171	1206
PB.10451.6	novelGene_104184	1344
PB.10451.9	novelGene_104187	1983
PB.10451.10	novelGene_104188	1344
PB.10458.1	novelGene_104219	369
PB.10460.26	novelGene_104239	687
PB.10460.33	novelGene_104261	993
PB.10460.38	novelGene_104264	945
PB.10460.35	novelGene_104273	993
PB.10466.3	novelGene_104458	1131
PB.10472.1	novelGene_104487	1518
PB.10472.8	novelGene_104494	342
PB.10473.3	novelGene_104495	330
PB.10473.1	novelGene_104496	570
PB.10475.1	novelGene_104500	507
PB.10474.3	novelGene_104503	390
PB.10479.6	novelGene_104514	2127
PB.10481.1	novelGene_104519	588
PB.10481.4	novelGene_104520	642
PB.10481.3	novelGene_104521	642
PB.10481.6	novelGene_104522	462
PB.10486.7	novelGene_104552	2568
PB.10486.11	novelGene_104556	1920
PB.10486.14	novelGene_104559	1920
PB.10485.3	novelGene_104568	429
PB.10485.1	novelGene_104571	306
PB.10485.2	novelGene_104574	384
PB.10485.5	novelGene_104575	357
PB.10485.6	novelGene_104576	342
PB.10490.1	novelGene_104577	936
PB.10489.3	novelGene_104582	5418
PB.10489.18	novelGene_104597	2835
PB.10489.19	novelGene_104598	2382
PB.10489.24	novelGene_104603	1743
PB.10489.26	novelGene_104605	1365
PB.10489.27	novelGene_104606	1365
PB.10489.28	novelGene_104607	1260
PB.10489.30	novelGene_104609	894
PB.10489.31	novelGene_104610	894
PB.10489.32	novelGene_104611	867
PB.10489.33	novelGene_104612	612
PB.10489.34	novelGene_104613	612
PB.10489.35	novelGene_104614	408
PB.10493.2	novelGene_104633	1461
PB.10493.4	novelGene_104635	594
PB.10493.6	novelGene_104638	594
PB.10493.12	novelGene_104639	594
PB.10493.10	novelGene_104640	594
PB.10493.8	novelGene_104642	1236
PB.10493.7	novelGene_104643	1350
PB.10493.14	novelGene_104646	369
PB.10493.16	novelGene_104647	594
PB.10492.8	novelGene_104661	1440
PB.10492.7	novelGene_104662	1440
PB.10492.13	novelGene_104670	1440
PB.10492.16	novelGene_104673	1440
PB.10492.17	novelGene_104674	981
PB.10492.35	novelGene_104692	981
PB.10492.41	novelGene_104698	741
PB.10494.1	novelGene_104756	1422
PB.10495.12	novelGene_104781	543
PB.10495.10	novelGene_104782	543
PB.10495.9	novelGene_104783	543
PB.10495.23	novelGene_104784	543
PB.10501.4	novelGene_104790	330
PB.10501.3	novelGene_104791	330
PB.10501.10	novelGene_104801	315
PB.10501.16	novelGene_104802	330
PB.10501.8	novelGene_104806	360
PB.10501.7	novelGene_104808	378
PB.10500.13	novelGene_104830	729
PB.10500.8	novelGene_104832	1050
PB.10500.18	novelGene_104833	1089
PB.10500.11	novelGene_104835	729
PB.10500.3	novelGene_104838	1089
PB.10500.6	novelGene_104839	1128
PB.10500.17	novelGene_104842	1839
PB.10500.4	novelGene_104843	1089
PB.10500.10	novelGene_104845	1050
PB.10500.7	novelGene_104846	1089
PB.10500.27	novelGene_104850	729
PB.10500.29	novelGene_104851	729
PB.10500.34	novelGene_104852	690
PB.10500.35	novelGene_104853	729
PB.10500.38	novelGene_104855	873
PB.10500.24	novelGene_104856	1089
PB.10500.28	novelGene_104858	1128
PB.10500.33	novelGene_104862	1089
PB.10500.36	novelGene_104864	873
PB.10500.30	novelGene_104865	1089
PB.10500.41	novelGene_104867	1089
PB.10500.43	novelGene_104869	1089
PB.10500.45	novelGene_104871	873
PB.10500.53	novelGene_104878	462
PB.10505.3	novelGene_104883	1737
PB.10505.4	novelGene_104884	783
PB.10505.5	novelGene_104886	7272
PB.10505.8	novelGene_104887	7332
PB.10505.12	novelGene_104892	1131
PB.10505.14	novelGene_104893	783
PB.10505.28	novelGene_104909	3603
PB.10505.36	novelGene_104917	819
PB.10505.37	novelGene_104919	675
PB.10505.38	novelGene_104920	519
PB.10505.39	novelGene_104921	519
PB.10505.40	novelGene_104922	399
PB.10505.41	novelGene_104923	399
PB.10507.4	novelGene_104938	336
PB.10507.10	novelGene_104941	336
PB.10507.8	novelGene_104942	768
PB.10507.12	novelGene_104945	336
PB.10507.16	novelGene_104950	774
PB.10507.18	novelGene_104952	768
PB.10507.22	novelGene_104953	336
PB.10507.21	novelGene_104955	768
PB.10507.23	novelGene_104956	768
PB.10507.28	novelGene_104960	768
PB.10507.27	novelGene_104961	768
PB.10512.3	novelGene_104982	1401
PB.10512.22	novelGene_104992	1401
PB.10512.25	novelGene_104997	1401
PB.10512.42	novelGene_105014	1527
PB.10512.43	novelGene_105015	1401
PB.10536.1	novelGene_105181	507
PB.10536.4	novelGene_105184	507
PB.10538.1	novelGene_105194	2067
PB.10538.3	novelGene_105196	2124
PB.10538.4	novelGene_105197	2124
PB.10538.16	novelGene_105203	2124
PB.10538.12	novelGene_105204	2124
PB.10538.15	novelGene_105206	2124
PB.10538.14	novelGene_105207	2124
PB.10538.13	novelGene_105208	2124
PB.10538.23	novelGene_105210	1188
PB.10538.24	novelGene_105211	2079
PB.10538.20	novelGene_105216	2124
PB.10538.19	novelGene_105217	2124
PB.10538.18	novelGene_105218	2124
PB.10538.8	novelGene_105219	2124
PB.10538.29	novelGene_105221	2079
PB.10538.28	novelGene_105222	2124
PB.10538.31	novelGene_105224	2124
PB.10538.32	novelGene_105225	2124
PB.10538.36	novelGene_105227	2124
PB.10538.33	novelGene_105228	2124
PB.10538.34	novelGene_105229	2124
PB.10538.39	novelGene_105230	2124
PB.10538.38	novelGene_105231	2124
PB.10538.37	novelGene_105232	2124
PB.10538.41	novelGene_105233	2079
PB.10538.42	novelGene_105234	2124
PB.10538.40	novelGene_105236	2124
PB.10538.44	novelGene_105238	2124
PB.10538.46	novelGene_105239	1971
PB.10538.47	novelGene_105240	1971
PB.10538.55	novelGene_105248	1536
PB.10538.56	novelGene_105249	1536
PB.10538.58	novelGene_105251	1233
PB.10538.61	novelGene_105254	1044
PB.10538.63	novelGene_105255	999
PB.10538.65	novelGene_105256	1044
PB.10538.62	novelGene_105258	1044
PB.10538.67	novelGene_105260	1044
PB.10538.70	novelGene_105261	1044
PB.10538.69	novelGene_105262	1044
PB.10538.68	novelGene_105263	1044
PB.10538.71	novelGene_105264	1044
PB.10538.72	novelGene_105265	585
PB.10538.75	novelGene_105268	585
PB.10538.76	novelGene_105269	585
PB.10538.77	novelGene_105270	585
PB.10538.79	novelGene_105272	585
PB.10538.81	novelGene_105274	585
PB.10542.4	novelGene_105361	456
PB.10542.3	novelGene_105362	705
PB.10542.2	novelGene_105363	873
PB.10542.10	novelGene_105366	537
PB.10542.9	novelGene_105367	1593
PB.10542.14	novelGene_105368	636
PB.10542.13	novelGene_105369	1161
PB.10542.12	novelGene_105370	1242
PB.10542.21	novelGene_105374	636
PB.10542.20	novelGene_105375	690
PB.10542.19	novelGene_105376	864
PB.10542.18	novelGene_105377	978
PB.10542.17	novelGene_105378	1161
PB.10542.16	novelGene_105379	1383
PB.10542.24	novelGene_105380	1593
PB.10548.2	novelGene_105411	576
PB.10548.6	novelGene_105414	474
PB.10553.7	novelGene_105485	3408
PB.10553.14	novelGene_105493	1200
PB.10553.18	novelGene_105497	798
PB.10575.6	novelGene_105578	396
PB.10575.5	novelGene_105579	396
PB.10575.2	novelGene_105581	396
PB.10575.4	novelGene_105582	396
PB.10578.14	novelGene_105623	600
PB.10578.12	novelGene_105624	966
PB.10578.11	novelGene_105626	1713
PB.10578.3	novelGene_105629	966
PB.10578.8	novelGene_105631	2019
PB.10578.19	novelGene_105636	1713
PB.10580.1	novelGene_105639	951
PB.10580.2	novelGene_105640	951
PB.10580.6	novelGene_105643	711
PB.10580.5	novelGene_105644	711
PB.10580.4	novelGene_105645	951
PB.10580.3	novelGene_105646	951
PB.10583.3	novelGene_105653	1605
PB.10583.4	novelGene_105654	1404
PB.10583.10	novelGene_105660	1425
PB.10584.16	novelGene_105674	1404
PB.10584.8	novelGene_105677	606
PB.10584.10	novelGene_105678	1554
PB.10584.12	novelGene_105679	1371
PB.10584.13	novelGene_105680	1296
PB.10584.9	novelGene_105683	1554
PB.10588.5	novelGene_105690	495
PB.10588.4	novelGene_105691	495
PB.10588.3	novelGene_105692	771
PB.10588.2	novelGene_105694	1314
PB.10588.11	novelGene_105695	1365
PB.10588.12	novelGene_105698	771
PB.10590.2	novelGene_105711	447
PB.10595.9	novelGene_105781	1344
PB.10595.11	novelGene_105783	1068
PB.10595.12	novelGene_105784	1068
PB.10595.13	novelGene_105785	951
PB.10595.14	novelGene_105786	771
PB.10595.15	novelGene_105787	684
PB.10595.16	novelGene_105788	672
PB.10595.17	novelGene_105789	672
PB.10595.18	novelGene_105790	501
PB.10595.19	novelGene_105791	309
PB.10595.20	novelGene_105792	309
PB.10595.21	novelGene_105793	309
PB.10595.22	novelGene_105794	309
PB.10597.2	novelGene_105808	663
PB.10601.3	novelGene_105824	603
PB.10605.3	novelGene_105846	1971
PB.10605.5	novelGene_105848	2316
PB.10605.6	novelGene_105849	2316
PB.10605.7	novelGene_105850	2304
PB.10605.12	novelGene_105855	1971
PB.10605.13	novelGene_105856	1971
PB.10605.15	novelGene_105858	1716
PB.10605.16	novelGene_105859	1461
PB.10605.17	novelGene_105860	1404
PB.10605.19	novelGene_105862	1134
PB.10605.20	novelGene_105863	1062
PB.10605.22	novelGene_105865	861
PB.10605.24	novelGene_105867	807
PB.10605.25	novelGene_105868	636
PB.10605.27	novelGene_105870	381
PB.10605.28	novelGene_105871	381
PB.10607.9	novelGene_105890	1269
PB.10607.11	novelGene_105892	1239
PB.10607.12	novelGene_105893	1083
PB.10607.13	novelGene_105896	975
PB.10607.16	novelGene_105899	834
PB.10607.17	novelGene_105900	801
PB.10607.18	novelGene_105901	744
PB.10607.21	novelGene_105904	621
PB.10609.7	novelGene_105937	795
PB.10609.14	novelGene_105939	492
PB.10609.13	novelGene_105940	672
PB.10609.12	novelGene_105941	1035
PB.10609.11	novelGene_105942	1410
PB.10609.10	novelGene_105943	1713
PB.10609.9	novelGene_105944	1713
PB.10609.8	novelGene_105945	1617
PB.10609.16	novelGene_105948	1713
PB.10609.25	novelGene_105952	672
PB.10609.24	novelGene_105953	795
PB.10609.23	novelGene_105954	1035
PB.10609.22	novelGene_105955	1713
PB.10611.5	novelGene_105989	1596
PB.10632.1	novelGene_106205	348
PB.10632.6	novelGene_106210	435
PB.10632.12	novelGene_106216	360
PB.10632.10	novelGene_106217	360
PB.10634.78	novelGene_106302	2421
PB.10634.82	novelGene_106307	2421
PB.10634.99	novelGene_106319	339
PB.10634.98	novelGene_106320	339
PB.10634.97	novelGene_106321	879
PB.10634.96	novelGene_106322	978
PB.10634.95	novelGene_106323	978
PB.10634.94	novelGene_106324	1542
PB.10634.91	novelGene_106326	2112
PB.10634.88	novelGene_106329	2478
PB.10634.122	novelGene_106332	573
PB.10634.121	novelGene_106333	702
PB.10634.120	novelGene_106334	702
PB.10634.119	novelGene_106335	1371
PB.10634.118	novelGene_106339	1542
PB.10634.117	novelGene_106340	1542
PB.10634.115	novelGene_106341	2169
PB.10634.110	novelGene_106342	2319
PB.10634.109	novelGene_106345	2421
PB.10634.125	novelGene_106349	1371
PB.10634.126	novelGene_106350	978
PB.10634.137	novelGene_106358	339
PB.10634.136	novelGene_106359	339
PB.10634.135	novelGene_106360	1371
PB.10634.133	novelGene_106363	1542
PB.10634.129	novelGene_106365	2421
PB.10634.154	novelGene_106369	573
PB.10634.153	novelGene_106370	702
PB.10634.152	novelGene_106371	978
PB.10634.150	novelGene_106374	2112
PB.10634.149	novelGene_106375	2112
PB.10634.145	novelGene_106377	2478
PB.10634.146	novelGene_106378	2421
PB.10634.156	novelGene_106381	1542
PB.10634.174	novelGene_106384	357
PB.10634.172	novelGene_106385	339
PB.10634.171	novelGene_106386	339
PB.10634.170	novelGene_106387	573
PB.10634.169	novelGene_106388	702
PB.10634.168	novelGene_106389	879
PB.10634.167	novelGene_106391	978
PB.10634.166	novelGene_106392	1371
PB.10634.165	novelGene_106394	1641
PB.10634.160	novelGene_106396	1641
PB.10634.159	novelGene_106398	2478
PB.10634.158	novelGene_106400	1641
PB.10634.186	novelGene_106403	978
PB.10634.185	novelGene_106404	978
PB.10634.184	novelGene_106405	1467
PB.10634.182	novelGene_106406	1641
PB.10634.181	novelGene_106407	1641
PB.10634.183	novelGene_106409	1542
PB.10634.180	novelGene_106410	2421
PB.10634.179	novelGene_106411	2421
PB.10634.191	novelGene_106414	702
PB.10634.190	novelGene_106415	2478
PB.10634.193	novelGene_106416	339
PB.10634.192	novelGene_106417	978
PB.10634.198	novelGene_106418	339
PB.10634.197	novelGene_106419	573
PB.10634.194	novelGene_106422	2421
PB.10634.231	novelGene_106456	828
PB.10639.1	novelGene_106497	882
PB.10639.4	novelGene_106499	711
PB.10639.11	novelGene_106505	738
PB.10639.9	novelGene_106506	990
PB.10639.12	novelGene_106507	1005
PB.10639.13	novelGene_106508	855
PB.10652.12	novelGene_106571	657
PB.10652.11	novelGene_106574	486
PB.10652.9	novelGene_106578	492
PB.10654.7	novelGene_106643	2334
PB.10654.8	novelGene_106644	2334
PB.10654.11	novelGene_106647	1491
PB.10654.12	novelGene_106648	1491
PB.10654.15	novelGene_106651	1491
PB.10654.16	novelGene_106652	1572
PB.10654.19	novelGene_106655	1491
PB.10654.22	novelGene_106658	1491
PB.10654.29	novelGene_106665	381
PB.10654.57	novelGene_106693	381
PB.10654.58	novelGene_106694	381
PB.10669.3	novelGene_106788	2142
PB.10669.4	novelGene_106790	1929
PB.10672.3	novelGene_106858	1698
PB.10672.13	novelGene_106868	1845
PB.10672.19	novelGene_106876	1845
PB.10672.20	novelGene_106877	1680
PB.10672.23	novelGene_106878	1863
PB.10672.21	novelGene_106881	1863
PB.10674.11	novelGene_106946	1527
PB.10674.25	novelGene_106960	1491
PB.10679.7	novelGene_106970	465
PB.10679.5	novelGene_106971	465
PB.10676.1	novelGene_106984	558
PB.10676.10	novelGene_106987	558
PB.10676.17	novelGene_106994	558
PB.10676.19	novelGene_106997	558
PB.10686.4	novelGene_107035	2775
PB.10686.7	novelGene_107038	2775
PB.10686.13	novelGene_107042	2775
PB.10686.19	novelGene_107044	2775
PB.10686.18	novelGene_107045	2775
PB.10686.15	novelGene_107048	2775
PB.10686.28	novelGene_107058	1347
PB.10689.2	novelGene_107068	4338
PB.10703.10	novelGene_107148	1806
PB.10721.5	novelGene_107227	1443
PB.10721.4	novelGene_107228	1224
PB.10722.4	novelGene_107234	1299
PB.10722.3	novelGene_107235	1299
PB.10727.8	novelGene_107251	477
PB.10727.5	novelGene_107254	396
PB.10727.11	novelGene_107255	492
PB.10747.3	novelGene_107450	1179
PB.10747.6	novelGene_107456	1257
PB.10747.11	novelGene_107461	1956
PB.10747.13	novelGene_107463	1830
PB.10748.2	novelGene_107473	660
PB.10748.5	novelGene_107476	768
PB.10748.8	novelGene_107479	768
PB.10753.22	novelGene_107515	675
PB.10759.2	novelGene_107528	588
PB.10795.1	novelGene_107751	561
PB.10801.3	novelGene_107782	1443
PB.10801.21	novelGene_107796	672
PB.10805.1	novelGene_107809	735
PB.10805.2	novelGene_107812	735
PB.10806.17	novelGene_107828	492
PB.10806.16	novelGene_107829	555
PB.10806.9	novelGene_107831	1038
PB.10806.13	novelGene_107832	555
PB.10806.10	novelGene_107834	1104
PB.10806.12	novelGene_107835	1017
PB.10806.24	novelGene_107839	555
PB.10806.23	novelGene_107840	969
PB.10806.22	novelGene_107841	555
PB.10806.27	novelGene_107843	492
PB.10806.29	novelGene_107844	969
